epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.56132,2.36148,4.8713,2.41212,0.00058,0.16667,0.00058,0.00012,2.15061,4.85311,2.83769,7e-05,7e-05,7e-05
2,6.39431,1.65123,4.35004,1.88491,0.00316,0.6,0.25721,0.14467,1.11188,4.02215,1.50662,0.0001485,0.0001485,0.0001485
3,8.81792,1.25153,3.57438,1.45898,0.00585,1,0.45661,0.30088,1.07302,3.6198,1.26732,0.0002254,0.0002254,0.0002254
4,11.2257,1.13619,2.77192,1.34058,0.00441,1,0.42673,0.3227,0.93909,3.37232,1.16833,0.0003007,0.0003007,0.0003007
5,13.6494,1.117,2.5737,1.37496,0.00358,0.9,0.52443,0.37938,0.93799,3.28409,1.23982,0.0003744,0.0003744,0.0003744
6,16.0561,1.10598,2.41223,1.38269,0.0031,0.9,0.52909,0.41566,1.00449,3.20418,1.26657,0.0004465,0.0004465,0.0004465
7,18.6451,1.09203,2.07697,1.28632,0.00331,0.93333,0.6055,0.45996,1.02955,2.91782,1.22343,0.000517,0.000517,0.000517
8,21.0299,1.01606,1.79774,1.20957,1,0.12096,0.6947,0.53678,0.93609,2.86076,1.15902,0.0005859,0.0005859,0.0005859
9,23.3851,1.1002,1.75041,1.28798,1,0.4179,0.74736,0.56969,0.90283,2.66547,1.17611,0.0006532,0.0006532,0.0006532
10,25.7318,1.09233,1.72344,1.28279,0.96992,0.42468,0.87895,0.66668,0.95369,2.4566,1.20277,0.0007189,0.0007189,0.0007189
11,28.091,1.03989,1.64705,1.23098,0.95509,0.64732,0.92159,0.71051,0.86146,2.01945,1.15232,0.000783,0.000783,0.000783
12,30.5629,0.98849,1.52043,1.15562,0.80034,0.72639,0.995,0.70821,1.00555,1.73367,1.25248,0.0008455,0.0008455,0.0008455
13,33.073,1.03657,1.6242,1.22815,0.88779,0.84402,0.995,0.79436,0.8314,1.70662,1.14097,0.00088,0.00088,0.00088
14,35.6053,0.99319,1.4696,1.20514,0.75303,0.85297,0.92569,0.71324,0.97452,1.37932,1.22531,0.00087,0.00087,0.00087
15,37.9712,0.9993,1.44142,1.1746,0.89165,0.92317,0.98548,0.75545,0.97087,1.06271,1.18971,0.00086,0.00086,0.00086
16,40.3595,0.94559,1.41653,1.14195,0.84391,0.95211,0.995,0.79398,0.85911,0.94091,1.16077,0.00085,0.00085,0.00085
17,42.746,0.88627,1.25154,1.12141,0.96825,0.98338,0.995,0.73984,0.97854,0.92667,1.28911,0.00084,0.00084,0.00084
18,45.2246,0.85476,1.2936,1.10327,0.82704,1,0.995,0.77732,0.87371,1.04654,1.15269,0.00083,0.00083,0.00083
19,47.897,0.89167,1.33987,1.1422,0.92323,0.9839,0.995,0.79229,0.85696,0.89241,1.18049,0.00082,0.00082,0.00082
